POST_ID,TITLE,YEAR,DATE,ATTENDANCE,FUNDRAISER,URL
112709,"One NATION, Back Together",,,,,https://dodgeball.livejournal.com/112709.html
111366,"THE ""WRITTEN"" Words",,,,,https://dodgeball.livejournal.com/111366.html
103532,"Only In AUGUST",,,,,https://dodgeball.livejournal.com/103532.html
94073,"CURSING, Not Allowed",,August 23,,,https://dodgeball.livejournal.com/94073.html
72940,">>> MXC",,Season 11,,,https://dodgeball.livejournal.com/72940.html
45768,">>> FEAST WEEK",,unbelievable 65,,,https://dodgeball.livejournal.com/45768.html
18473,">>> CUPID is PISSED",,February 11,,,https://dodgeball.livejournal.com/18473.html
15478,">>> Two GAMES in One",,the 14,,,https://dodgeball.livejournal.com/15478.html
8519,">>> SIX New Profiles",,,,,https://dodgeball.livejournal.com/8519.html
7903,">>> TWO New Profiles",,,,,https://dodgeball.livejournal.com/7903.html
7475,">>> SIX New Profiles",,,,,https://dodgeball.livejournal.com/7475.html
7263,">>> FOUR New Profiles",,,,,https://dodgeball.livejournal.com/7263.html
5980,">>> The ERA of DEVOLUTION ?",,DAY 1,,,,https://dodgeball.livejournal.com/5980.html
